id,tournament_id
400512089,NA
400511151,NA
400509544,NA
400509541,NA
400507593,NA
400509700,NA
400511785,NA
400504897,NA
400504896,NA
400504895,NA
400504893,NA
400508875,NA
400508874,NA
400537055,NA
400515244,NA
400511693,NA
400511659,NA
400511647,NA
400511336,NA
400510705,NA
400509877,NA
400509240,NA
400510825,NA
400510824,NA
400510822,NA
400504894,NA
400538274,NA
400515236,NA
400512563,NA
400512378,NA
400510823,NA
400510706,NA
400512536,NA
400512488,NA
400537374,NA
400511315,NA
400509875,NA
400511149,NA
400509876,NA
400511010,NA
400511387,NA
400508498,NA
400508873,NA
400511147,NA
400505401,NA
400505400,NA
400509873,NA
400509874,NA
400509872,NA
400508497,NA
400507592,NA
400505402,NA
400505399,NA
400508496,NA
400510546,NA
400511150,NA
400511148,NA
400510403,NA
400509930,NA
400509388,NA
400509387,NA
400508872,NA
400508871,NA
400508870,NA
400503809,NA
400508494,NA
400511019,NA
400503808,NA
400503810,NA
400508493,NA
400510528,NA
400510402,NA
400508869,NA
400508495,NA
400509385,NA
400505924,NA
400510906,NA
400509699,NA
400505925,NA
400514666,NA
400512223,NA
400511607,NA
400511606,NA
400511494,NA
400511493,NA
400507899,NA
400505923,NA
400505922,NA
400505082,NA
400503806,NA
400510820,NA
400504888,NA
400536354,NA
400504889,NA
400512222,NA
400511492,NA
400511491,NA
400510977,NA
400510888,NA
400504892,NA
400510588,NA
400512867,NA
400512221,NA
400512220,NA
400511277,NA
400511253,NA
400511240,NA
400511214,NA
400509540,NA
400509196,NA
400507897,NA
400507591,NA
400505257,NA
400505080,NA
400512081,NA
400512292,NA
400505081,NA
400511178,NA
400515818,NA
400512562,NA
400512535,NA
400512436,NA
400512331,NA
400511605,NA
400511604,NA
400510821,NA
400510819,NA
400510818,NA
400510401,NA
400510214,NA
400509698,NA
400509697,NA
400509696,NA
400509695,NA
400507590,NA
400504891,NA
400511314,NA
400510601,NA
400509538,NA
400512218,NA
400512217,NA
400511765,NA
400511603,NA
400511049,NA
400510965,NA
400510213,NA
400509195,NA
400507898,NA
400507896,NA
400507589,NA
400505398,NA
400505256,NA
400505255,NA
400505254,NA
400504890,NA
400503807,NA
400507588,NA
400515253,NA
400512599,NA
400512552,NA
400512475,NA
400512458,NA
400512362,NA
400512349,NA
400512274,NA
400511784,NA
400511670,NA
400511438,NA
400510704,NA
400510703,NA
400510400,NA
400510212,NA
400509539,NA
400509386,NA
400509194,NA
400509193,NA
400507587,NA
400515235,NA
400510702,NA
400510399,NA
400514675,NA
400512611,NA
400512577,NA
400512216,NA
400511727,NA
400511697,NA
400511658,NA
400511335,NA
400510929,NA
400510869,NA
400510211,NA
400510210,NA
400509537,NA
400509192,NA
400509536,NA
400512395,NA
400512312,NA
400512219,NA
400512822,NA
400509868,NA
400509867,NA
400509871,NA
400509870,NA
400509869,NA
400509866,NA
400505396,NA
400505395,NA
400505397,NA
400505394,NA
400537394,NA
400536814,NA
400511490,NA
400511489,NA
400511488,NA
400511487,NA
400510398,NA
400510397,NA
400537034,NA
400537354,NA
400505921,NA
400511229,NA
400511213,NA
400509694,NA
400507895,NA
400505920,NA
400505919,NA
400505918,NA
400511195,NA
400512821,NA
400512213,NA
400511177,NA
400509929,NA
400509693,NA
400509692,NA
400509691,NA
